Flight_number,Airline,Dep_time_min,N_passengers,Terminal,,
6E853,IndiGo,140,129,T1,,76:20
6E6029,IndiGo,285,129,T1,,3.8
6E6073,IndiGo,285,129,T1,,
6E449,IndiGo,285,129,T1,,
6E6804,IndiGo,300,129,T1,,
6E6064,IndiGo,315,129,T1,,
6E732,IndiGo,345,104,T1,,
6E6261,IndiGo,350,108,T1,,
6E6218,IndiGo,360,129,T1,,
6E6483,IndiGo,360,129,T1,,
SG2952,SpiceJet,360,46,T1,,
SG479,SpiceJet,365,110,T1,,
SG121,SpiceJet,370,87,T1,,
6E6371,IndiGo,390,104,T1,,
6E7483,IndiGo,410,43,T1,,
SG2944,SpiceJet,415,46,T1,,
6.00E+203,IndiGo,415,129,T1,,
6E6708,IndiGo,415,108,T1,,
6E6814,IndiGo,420,129,T1,,
6.00E+219,IndiGo,420,129,T1,,
SG263,SpiceJet,425,123,T1,,
6E7324,IndiGo,450,43,T1,,
6E6311,IndiGo,450,129,T1,,
SG980,SpiceJet,470,87,T1,,
6E675,IndiGo,480,129,T1,,
6E686,IndiGo,480,129,T1,,
6E513,IndiGo,510,129,T1,,
6E6107,IndiGo,540,129,T1,,
6E6198,IndiGo,550,104,T1,,
6E6201,IndiGo,555,108,T1,,
6E767,IndiGo,580,108,T1,,
6E7442,IndiGo,600,43,T1,,
6E6328,IndiGo,600,129,T1,,
SG2951,SpiceJet,600,46,T1,,
SG123,SpiceJet,625,87,T1,,
6.00E+291,IndiGo,630,108,T1,,
SG475,SpiceJet,630,110,T1,,
6E6047,IndiGo,660,129,T1,,
6E6241,IndiGo,660,129,T1,,
SG2939,SpiceJet,675,46,T1,,
6E6821,IndiGo,690,108,T1,,
6E6051,IndiGo,715,129,T1,,
6E6282,IndiGo,735,129,T1,,
6E434,IndiGo,735,129,T1,,
SG982,SpiceJet,735,87,T1,,
6E6312,IndiGo,735,129,T1,,
6E896,IndiGo,760,129,T1,,
6E608,IndiGo,775,129,T1,,
6E6676,IndiGo,780,129,T1,,
6E7156,IndiGo,800,43,T1,,
6E6403,IndiGo,820,104,T1,,
SG9075,SpiceJet,830,110,T1,,
SG2451,SpiceJet,840,46,T1,,
6E6601,IndiGo,840,129,T1,,
6E769,IndiGo,855,108,T1,,
6.00E+176,IndiGo,855,129,T1,,
6E6022,IndiGo,855,129,T1,,
6E360,IndiGo,860,108,T1,,
6E6115,IndiGo,860,129,T1,,
SG126,SpiceJet,880,87,T1,,
6E315,IndiGo,900,129,T1,,
6E6212,IndiGo,920,129,T1,,
SG477,SpiceJet,925,110,T1,,
6E6054,IndiGo,930,129,T1,,
6E6318,IndiGo,930,129,T1,,
6E6983,IndiGo,935,108,T1,,
6E6091,IndiGo,970,129,T1,,
6E6384,IndiGo,1020,129,T1,,
SG9721,SpiceJet,1020,87,T1,,
6E864,IndiGo,1020,129,T1,,
6E6217,IndiGo,1030,129,T1,,
6E6316,IndiGo,1040,129,T1,,
6E6829,IndiGo,1065,129,T1,,
6E6706,IndiGo,1080,129,T1,,
6E6071,IndiGo,1105,129,T1,,
6E6582,IndiGo,1120,104,T1,,
6E354,IndiGo,1140,129,T1,,
6E6265,IndiGo,1140,104,T1,,
6E6511,IndiGo,1150,104,T1,,
6E6517,IndiGo,1170,129,T1,,
6E6271,IndiGo,1170,108,T1,,
SG2473,SpiceJet,1200,46,T1,,
6E6515,IndiGo,1215,129,T1,,
6E382,IndiGo,1215,129,T1,,
6E6479,IndiGo,1220,108,T1,,
6E395,IndiGo,1260,129,T1,,
6E6048,IndiGo,1270,104,T1,,
6E389,IndiGo,1275,129,T1,,
SG721,SpiceJet,1280,87,T1,,
6E477,IndiGo,1290,129,T1,,
6E6341,IndiGo,1305,129,T1,,
6E6114,IndiGo,1320,129,T1,,
SG922,SpiceJet,1375,123,T1,,
6E6061,IndiGo,1390,129,T1,,
6E519,IndiGo,1410,129,T1,,
SG9723,SpiceJet,1435,87,T1,,
