Flight_number,Airline,Dep_time_min,N_passengers,Terminal,,,,,
6E2788,IndiGo,144    ,128,T2,,,,,
6E2308,IndiGo,146    ,128,T2,,,,,
6E2766,IndiGo,230    ,128,T2,,,,,
6E2059,IndiGo,257    ,107,T2,,,,,
6E2471,IndiGo,276    ,107,T2,,,,,85:10
6E2431,IndiGo,280    ,107,T2,,,,,8.6
6E2211,IndiGo,280    ,104,T2,,,,,
6E2216,IndiGo,300    ,107,T2,,,,,
6E2037,IndiGo,315    ,128,T2,,,,,
6E2069,IndiGo,325    ,128,T2,,,,,
6E2607,IndiGo,335    ,128,T2,,,,,
6E2064,IndiGo,300    ,107,T2,,,,,
6E2503,IndiGo,360    ,128,T2,,,,,
6E2412,IndiGo,360    ,128,T2,,,,,
6E2262,IndiGo,360    ,128,T2,,,,,
6E2272,IndiGo,370    ,107,T2,,,,,
6E2067,IndiGo,375    ,104,T2,,,,,
6E2006,IndiGo,390    ,107,T2,,,,,
6E2062,IndiGo,400    ,128,T2,,,,,
6E2103,IndiGo,420    ,128,T2,,,,,
6E2316,IndiGo,460    ,107,T2,,,,,
6E2022,IndiGo,430    ,104,T2,,,,,
6E2281,IndiGo,435    ,128,T2,,,,,
6E2076,IndiGo,440    ,107,T2,,,,,
6E2413,IndiGo,445    ,128,T2,,,,,
6E2034,IndiGo,450    ,128,T2,,,,,
6E2009,IndiGo,460    ,107,T2,,,,,
6E2109,IndiGo,480    ,128,T2,,,,,
6E2769,IndiGo,490    ,107,T2,,,,,
QP1355,Akasa Air,480    ,114,T2,,,,,
6E2119,IndiGo,495    ,107,T2,,,,,
QP1719,Akasa Air,515    ,114,T2,,,,,
6E2120,IndiGo,515    ,128,T2,,,,,
6E2124,IndiGo,535    ,128,T2,,,,,
6E2018,IndiGo,535    ,104,T2,,,,,
QP1405,Akasa Air,535    ,114,T2,,,,,
6E2296,IndiGo,560    ,107,T2,,,,,
6E2707,IndiGo,560    ,128,T2,,,,,
6E2408,IndiGo,570    ,128,T2,,,,,
6E2049,IndiGo,570    ,107,T2,,,,,
6E2356,IndiGo,580    ,107,T2,,,,,
6E2644,IndiGo,595    ,107,T2,,,,,
QP1411,Akasa Air,600    ,114,T2,,,,,
QP1625,Akasa Air,600    ,114,T2,,,,,
6E2625,IndiGo,610    ,128,T2,,,,,
6E2038,IndiGo,610    ,128,T2,,,,,
6E2277,IndiGo,610    ,128,T2,,,,,
6E2373,IndiGo,610    ,107,T2,,,,,
6E2127,IndiGo,645    ,128,T2,,,,,
6E2065,IndiGo,645    ,128,T2,,,,,
QP1607,Akasa Air,650    ,114,T2,,,,,
6E2583,IndiGo,665    ,107,T2,,,,,
6E2117,IndiGo,670    ,107,T2,,,,,
6E2434,IndiGo,690    ,128,T2,,,,,
