Flight_number,Airline,Type,Dep_time_min,N_passengers,Terminal,,,,
AI2912,Air India,D,120,107,T3,,,,
AI443,Air India,I,120,154,T3,,,,
AI485,Air India,I,125,164,T3,,,,
6E5073,IndiGo,D,135,107,T3,,141:241,,25703.8923399875
AI2409,Air India,D,150,107,T3,,0.5850622406639,,16362.712323138
6E5358,IndiGo,D,150,104,T3,,,,
AI2617,Air India,I,150,132,T3,,,,
AI617,Air India,I,175,136,T3,,,,
AI853,Air India,D,180,134,T3,,,,
AI2557,Air India,I,180,125,T3,,,,
AI2527,Air India,I,200,125,T3,,,,
AI2975,Air India,I,205,89,T3,,,,
VJ896,VietJet Air,I,205,138,T3,,,,
AC51,Air Canada,D,210,107,T3,,,,
AF225,Air France,I,220,154,T3,,,,
AI302,Air India,D,225,109,T3,,,,
AI312,Air India,I,235,155,T3,,,,
LX147,Swiss,I,250,81,T3,,,,
KC964,Air Astana,I,255,173,T3,,,,
CX694,Cathay Pacific,I,255,85,T3,,,,
BA142,British Airways,I,260,91,T3,,,,
AI187,Air India,I,260,169,T3,,,,
AI2336,Air India,D,265,104,T3,,,,
W570,Mahan Air,I,280,73,T3,,,,
LH763,Lufthansa,D,285,104,T3,,,,
TG336,Thai Airways International,D,285,128,T3,,,,
AI105,Air India,D,285,104,T3,,,,
AI378,Air India,D,285,109,T3,,,,
VS303,Virgin Atlantic,I,290,142,T3,,,,
ET687,Ethiopian Airlines,D,295,107,T3,,,,
LH761,Lufthansa,D,295,104,T3,,,,
AZ769,ITA Airways,D,295,107,T3,,,,
TG332,Thai Airways International,I,295,83,T3,,,,
AI277,Air India,D,300,104,T3,,,,
QR579,Qatar Airways,D,300,104,T3,,,,
AI101,Air India,D,300,83,T3,,,,
KL872,KLM Royal Dutch Airlines,D,300,104,T3,,,,
FZ442,Flydubai,I,300,146,T3,,,,
EK513,Emirates,I,300,196,T3,,,,
XY330,Flynas,I,315,66,T3,,,,
6E1307,IndiGo,I,330,108,T3,,,,
AI185,Air India,D,340,107,T3,,,,
G9464,Air Arabia,D,345,107,T3,,,,
EY219,Etihad Airways,D,345,128,T3,,,,
GF131,Gulf Air,D,345,104,T3,,,,
AI2025,Air India,I,345,79,T3,,,,
SU233,Aeroflot,D,350,83,T3,,,,
UL192,SriLankan Airlines,D,350,105,T3,,,,
6E1707,IndiGo,D,355,104,T3,,,,
AI215,Air India,D,355,105,T3,,,,
AI161,Air India,D,355,107,T3,,,,
AI2525,Air India,D,360,107,T3,,,,
9I649,Alliance Air,I,360,116,T3,,,,
AI2829,Air India,D,370,40,T3,,,,
IX1038,Air India Express,D,370,107,T3,,,,
AI547,Air India,D,370,109,T3,,,,
AI483,Air India,D,375,105,T3,,,,
9I643,Alliance Air,D,380,104,T3,,,,
6E5058,IndiGo,D,380,40,T3,,,,
AI2611,Air India,D,380,107,T3,,,,
AI2803,Air India,D,380,107,T3,,,,
AI465,Air India,I,380,108,T3,,,,
AI2793,Air India,I,380,141,T3,,,,
IX1193,Air India Express,D,385,107,T3,,,,
AI2535,Air India,D,390,104,T3,,,,
6E5317,IndiGo,I,390,154,T3,,,,
IX1194,Air India Express,D,395,107,T3,,,,
AI473,Air India,D,400,109,T3,,,,
AI2429,Air India,D,405,104,T3,,,,
AI2922,Air India,D,410,107,T3,,,,
9I821,Alliance Air,D,415,109,T3,,,,
IX2761,Air India Express,I,415,259,T3,,,,
AI2560,Air India,I,415,85,T3,,,,
IX1036,Air India Express,D,420,104,T3,,,,
AI2499,Air India,D,420,107,T3,,,,
AI2705,Air India,D,420,107,T3,,,,
9I613,Alliance Air,I,420,73,T3,,,,
AI2815,Air India,D,425,40,T3,,,,
AI2943,Air India,D,430,109,T3,,,,
6E5315,IndiGo,D,430,107,T3,,,,
AI2651,Air India,D,430,109,T3,,,,
AI2435,Air India,D,430,107,T3,,,,
6E5036,IndiGo,I,430,65,T3,,,,
IX1028,Air India Express,D,440,105,T3,,,,
IX1184,Air India Express,D,440,40,T3,,,,
AI445,Air India,D,450,107,T3,,,,
AI821,Air India,D,450,107,T3,,,,
IX1116,Air India Express,D,455,107,T3,,,,
6E5067,IndiGo,I,460,136,T3,,,,
AI2633,Air India,I,465,92,T3,,,,
AI2567,Air India,I,470,91,T3,,,,
AI2678,Air India,D,480,107,T3,,,,
6E5074,IndiGo,D,480,107,T3,,,,
AI2801,Air India,D,480,104,T3,,,,
AI2963,Air India,D,480,109,T3,,,,
6E5164,IndiGo,D,480,109,T3,,,,
IX1135,Air India Express,D,480,104,T3,,,,
IX1186,Air India Express,D,490,105,T3,,,,
6E5053,IndiGo,D,490,104,T3,,,,
AI813,Air India,I,490,91,T3,,,,
AI2467,Air India,I,495,73,T3,,,,
AI2529,Air India,D,500,128,T3,,,,
