,,,,,,Terminal 3,,,,,,,,,,,,,,,
time ,flight no ,Air line,aircraft type,capacity,,Time Slots,Number of Arrivals,,,,,,,WRONG,,,,,,,
00.00 -06.00,AI2702,Air India,Airbus A320neo,186 ,,00.00 -06.00,3878,0.5773171696,2238.835984,6.218988843,13.74852452,19.96751337,,16.24346003,22.46244887,,0.5773171696,15287.93597,10.6166222,,
,AI2421,Air India,Airbus A320neo,186 ,,06.00 - 12.00,9061,0.5773171696,5231.070873,14.53075243,10.75965583,25.29040825,,12.71220334,27.24295577,,,,,,
,AI2577,Air India,Airbus A320neo ,186 ,,12.00-18.00,7775,0.5773171696,4488.640993,12.4684472,8.6082676,21.0767148,,10.17040414,22.63885134,,,,,,
,AI2693,Air India,	Airbus A320,180,,18.00-24.00,5767,0.5773171696,3329.388117,9.248300324,12.33553074,21.58383106,,14.57405121,23.82235154,,,,,,
,IX1861,Air India Express,Airbus A321neo ,232,,,,,,,,,,,,,,,,,
,AI2653,Air India,Airbus A320neo,186 ,,Total,26481,2.309268678,15287.93597,-15286.93597,,,,,,,,,,,
,IX1011,Air India Express,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,IX1197,Air India Express,Airbus A320,180,,year total ,9665565,,,,,,,,,,,,,,
,AI817,Air India,Airbus A320 ,180,,,,,,,,,,,,,,,,,
,6E5119,IndiGo,	Airbus A321neo,222,,,,,,,,,,,,,,,,,
,AI2469,Air India,	Airbus A320 ,180,,,,,,,,,,,,,,,,,
,IX1164,Air India Express,Boeing 737 MAX 8,189,,,26710335,,,,,,,,,,,,,,
,6E5015,IndiGo,	Airbus A320neo ,186,,,,,,,,,,,,,,,,,
,AI2688,Air India,	Airbus A320,180,,,,,,,,2238.835984,4949.468828,7188.304812,1198.050802,,,,3878,10129,14007
,AI2479,Air India,Airbus A320neo,186 ,,,,,,,,5231.070873,3873.476098,9104.546972,1517.424495,,,,9061,7927,16988
,IX2801,Air India Express,	Airbus A320,180,,,,,,,,4488.640993,3098.976336,7587.617329,1264.602888,,,,7775,6342,14117
,AI2912,Air India,Airbus A320 ,180,,,,,,,,3329.388117,4440.791066,7770.179183,1295.029864,,,,5767,9088,14855
,AI443,Air India,Airbus A319,144,,,,,,,,,,,,,,,,,
,AI485,Air India,	Airbus A320,180,,,,,,,,,,,,,,,,,
