,,,,,,,,,,,,,,,,,
Terminal 1,6711620,,,Terminal 3(international),12222390,,,,,,,,,,,,
Terminal 2,10333150,,,,,,,,,,,,,,,,
Terminal 3(domestic),9665565,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
domestic total ,26710335,,,international total ,12222390,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
transfers,,,,,,,,,,,,,,,,,
dom -> dom,"8,560,000",,,dom -> int,"2,880,000",,,,,,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
int -> dom,"2,730,000",,,int -> int,"3,370,000",,,,,,Time Slots,Terminal 1 – Arrivals,Terminal 1 – λ,Terminal 2 – Arrivals,Terminal 2 – λ,Terminal 3 – Arrivals,Terminal 3 – λ
total ,"11,290,000",,,total ,"6,250,000",,,,,,00.00 -06.00,"1,698",2.723,"2,850",4.5704,"14,007",19.9675
,,,,,,,,,,,06.00 - 12.00,"5,969",9.5722,"8,910",14.2886,"16,988",25.2904
P origin_dom,"15,420,335",,,P origin_int,"5,972,390",,,,,,12.00-18.00,"6,155",9.8705,"9,607",15.4064,"14,117",21.0767
OS ,0.5773171696,,,OS ,0.4886433832,,,,,,18.00-24.00,"4,566",7.3223,"6,943",11.1342,"14,855",21.5838
,,,,,,time,525600,,,,,,,,,,
DEL passengers boarding at:,,lamda,,,,lamda,,,,,,,,,,,
Terminal 1,3874733.462,7.372019523,,Terminal 3(international),5972390,11.36299467,,,,,,,,,,,
Terminal 2,5965504.911,11.34989519,,,,,,,,,,,,,,,
Terminal 3(domestic),5580096.628,10.6166222,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
terminal 3,11552486.63,21.97961687,,,,,,,,,,,,,,,
