date,27/9/2025,,,,,Terminal 1,,,,,,,,,,,,,
time ,flight no ,Air line,aircraft type,capacity,,Time Slots,Number of Arrivals,Arrival Rate,,,,,,,,,,,
00.00 -06.00,6E853,IndiGo,Airbus A321neo,222,,00.00 -06.00,1698,2.72301265,980.2845539,2.72301265,163.380759,,,,,,,,
,6E6029,,Airbus A321,222,,06.00 - 12.00,5969,9.572239403,3446.006185,9.572239403,574.3343642,,,,,,,,
,6E6073,,Airbus A321neo,222,,12.00-18.00,6155,9.870519941,3553.387179,9.870519941,592.2311964,,,,,,,,
,6E449,,Airbus A321,222,,18.00-24.00,4566,7.3223061,2636.030196,7.3223061,439.338366,,,,,,,,
,6E6804,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6064,,Airbus A321neo,222,,Total,18388,,,,,,,,,,,,
,6E732,,Airbus A320,180,,,,,,,,,,,,,,,
,6E6261,,Airbus A320neo,186,,year total ,6711620,,0.5773171696,,,,,,,,,,
,,,,,,,,,0.5773171696,,,,,,,,,,
06.00 - 12.00,6E6218,,Airbus A321neo,222,,,,,0.5773171696,,,,,,,,,,
,6E6483,,Airbus A321neo,222,,,,,0.5773171696,,,,,,,,Column 1,Column 2,Column 3
,SG2952,SpiceJet,de Havilland Dash 8-400,78,,,,,,,,,,,,,Terminal 1,,
,SG479,,Boeing 737-800,189,,,,,,,,,,,,,Time Slots,Number of Arrivals,Arrival Rate
,SG121,,Boeing 737-700,149,,,,0.5773171696,1698,2850,4548,2625.638487,7.293440242,,,,00.00 -06.00,4548,7.293
,6E6371,,Airbus A320 ,180,,,,0.5773171696,5969,8910,14879,8589.902166,23.86083935,,,,06.00 - 12.00,14879,23.861
,6E7483,,ATR ATR-72,74,,,,0.5773171696,6155,9607,15762,9099.673226,25.27687007,,,,12.00-18.00,15762,25.276
,SG2944,,de Havilland Dash 8-400,78,,,,0.5773171696,4566,6943,11509,6644.343304,18.45650918,,,,18.00-24.00,11509,18.456
,6.00E+203,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6708,,Airbus A320neo,186,,,,,,,,,,,,,,,
,6E6814,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6.00E+219,,Airbus A321,222,,,,,,,,,,,,,,,
,SG263,,Boeing 737-900 ,212,,,,,,,,,,,,,,,
,6E7324,,ATR ATR-72,74,,,,,,,,,,,,,,,
,6E6311,,Airbus A321neo,222,,,,,,,,,,,,,,,
,SG980,,Boeing 737-700,149,,,,,,,,,,,,,,,
,6E675,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E686,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E513,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6107,,Airbus A321,222,,,,,,,,,,,,,,,
,6E6198,,Airbus A320,180,,,,,,,,,,,,,,,
,6E6201,,Airbus A320neo,186,,,,,,,,,,,,,,,
,6E767,,Airbus A320neo,186,,,,,,,,,,,,,,,
,6E7442,,ATR ATR-72,74,,,,,,,,,,,,,,,
,6E6328,,	Airbus A321neo,222,,,,,,,,,,,,,,,
,SG2951,,de Havilland Dash 8-400 ,78,,,,,,,,,,,,,,,
,SG123,,Boeing 737-700 (twin-jet),149,,,,,,,,,,,,,,,
,6.00E+291,,Airbus A320neo,186,,,,,,,,,,,,,,,
,SG475,,Boeing 737-800,189,,,,,,,,,,,,,,,
,6E6047,,Airbus A321,222,,,,,,,,,,,,,,,
,6E6241,,Airbus A321neo,222,,,,,,,,,,,,,,,
,SG2939,,	de Havilland Dash 8-400,78,,,,,,,,,,,,,,,
,6E6821,,	Airbus A320neo,186,,,,,,,,,,,,,,,
,6E6051,,Airbus A321neo,222,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12.00-18.00,6E6282,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E434,,Airbus A321,222,,,,,,,,,,,,,,,
,SG982,,Boeing 737-700,149,,,,,,,,,,,,,,,
,6E6312,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E896,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E608,,	Airbus A321neo ,222,,,,,,,,,,,,,,,
,6E6676,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E7156,,ATR ATR-72 ,74,,,,,,,,,,,,,,,
,6E6403,,Airbus A320 ,180,,,,,,,,,,,,,,,
,SG9075,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,
,SG2451,,	de Havilland Dash 8-400,78,,,,,,,,,,,,,,,
,6E6601,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E769,,	Airbus A320neo,186,,,,,,,,,,,,,,,
,6.00E+176,,Airbus A321,222,,,,,,,,,,,,,,,
,6E6022,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E360,,	Airbus A320neo ,186,,,,,,,,,,,,,,,
,6E6115,,Airbus A321,222,,,,,,,,,,,,,,,
,SG126,,	Boeing 737-700,149,,,,,,,,,,,,,,,
,6E315,,	Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6212,,Airbus A321,222,,,,,,,,,,,,,,,
,SG477,,	Boeing 737-800,189,,,,,,,,,,,,,,,
,6E6054,,Airbus A321,222,,,,,,,,,,,,,,,
,6E6318,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6983,,	Airbus A320neo,186,,,,,,,,,,,,,,,
,6E6091,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6384,,Airbus A321neo,222,,,,,,,,,,,,,,,
,SG9721,,Boeing 737-700 ,149,,,,,,,,,,,,,,,
,6E864,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6217,,	Airbus A321 ,222,,,,,,,,,,,,,,,
,6E6316,,	Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6829,,Airbus A321neo,222,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
18.00-24.00,6E6706,,Airbus A321 ,222,,,,,,,,,,,,,,,
,6E6071,,Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6582,,Airbus A320,180,,,,,,,,,,,,,,,
,6E354,,	Airbus A321neo,222,,,,,,,,,,,,,,,
,6E6265,,Airbus A320,180,,,,,,,,,,,,,,,
,6E6511,,	Airbus A320,180,,,,,,,,,,,,,,,
,6E6517,,	Airbus A321,222,,,,,,,,,,,,,,,
,6E6271,,	Airbus A320neo,186,,,,,,,,,,,,,,,
,SG2473,,	de Havilland Dash 8-400,78,,,,,,,,,,,,,,,
,6E6515,,	Airbus A321neo,222,,,,,,,,,,,,,,,
,6E382,,Airbus A321neo,222,,,,,,,,,,,,,,,
