,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
A - F,9-14,12-17,11-16,1-6,2-7,6-11,1-6,2-7,3-8,4-9,6-11,3-8,6-11,7-12,11-16,14-19 ,13-18 ,5-10,1-6,2-7,3-8,1-6,2-7,1-6,1 6,15 20,2 7,6 11,10 15,13 18,13 18,7 12,8 13,11 16,15 20,20 25,33 38,29 34,27-32 ,22-27 ,20-25 ,11-16,17 22,26-31 ,17-22 ,11-16,22-27 ,8-13
G - M,19-24 ,12-17,8-13,3-8,7-12,4-9,8-13,19-24 ,8-13,16-21 ,16-21 ,6-11,15-20 ,16-21 ,14-19 ,26-31 ,20-25 ,7-12,14-19 ,5-10,4-9,11-16,4-9,1-6,12 17,3 8,1 6,6 11,7 12,11 16,20 25,24 29,15 20,10 15,13 18,16 21,20 25,30 35,30-35 ,27-32 ,21-26 ,33-38 ,27 32,23-28 ,21-26 ,18-23 ,30-35 ,23-28 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.5,14.5,13.5,3.5,4.5,8.5,3.5,4.5,5.5,6.5,8.5,5.5,8.5,9.5,13.5,16.5,15.5,7.5,3.5,4.5,5.5,3.5,4.5,3.5,3.5,17.5,4.5,8.5,12.5,15.5,15.5,9.5,10.5,13.5,17.5,22.5,35.5,31.5,29.5,24.5,22.5,13.5,19.5,28.5,19.5,13.5,24.5,10.5
,21.5,14.5,10.5,5.5,9.5,6.5,10.5,21.5,10.5,18.5,18.5,8.5,17.5,18.5,16.5,28.5,22.5,9.5,16.5,7.5,6.5,13.5,6.5,3.5,14.5,5.5,3.5,8.5,9.5,13.5,22.5,26.5,17.5,12.5,15.5,18.5,22.5,32.5,32.5,29.5,23.5,35.5,29.5,25.5,23.5,20.5,32.5,25.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A - F,11.5,14.5,13.5,3.5,4.5,8.5,3.5,4.5,5.5,6.5,8.5,5.5,8.5,9.5,13.5,16.5,15.5,7.5,3.5,4.5,5.5,3.5,4.5,3.5,3.5,17.5,4.5,8.5,12.5,15.5,15.5,9.5,10.5,13.5,17.5,22.5,35.5,31.5,29.5,24.5,22.5,13.5,19.5,28.5,19.5,13.5,24.5,10.5
G - M,21.5,14.5,10.5,5.5,9.5,6.5,10.5,21.5,10.5,18.5,18.5,8.5,17.5,18.5,16.5,28.5,22.5,9.5,16.5,7.5,6.5,13.5,6.5,3.5,14.5,5.5,3.5,8.5,9.5,13.5,22.5,26.5,17.5,12.5,15.5,18.5,22.5,32.5,32.5,29.5,23.5,35.5,29.5,25.5,23.5,20.5,32.5,25.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL AVG,16.5,14.5,12,4.5,7,7.5,7,13,8,12.5,13.5,7,13,14,15,22.5,19,8.5,10,6,6,8.5,5.5,3.5,9,11.5,4,8.5,11,14.5,19,18,14,13,16.5,20.5,29,32,31,27,23,24.5,24.5,27,21.5,17,28.5,18
TOTAL AVG,16.5,14.5,12,4.5,7,7.5,7,13,8,12.5,13.5,7,13,14,15,22.5,19,8.5,10,6,6,8.5,5.5,3.5,9,11.5,4,8.5,11,14.5,19,18,14,13,16.5,20.5,29,32,31,27,23,24.5,24.5,27,21.5,17,28.5,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00 - 6:00,2.723013,0,A1= LAMBDA,,0.3672402592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00 - 12:00 ,9.572239,ABOVE IS FORMULA,,,0.1044687664,,,C=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00- 18:00,9.87052,,,,0.101311785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 24:00,7.322306,,,,0.1365689989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LAMBDA/C,LAMBDA,,,A-F,MU,SERVICE TIME,,,G-M,MU,SERVICE TIME,,,TOTAL,MU,SERVICE TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12:00,0.493526,9.87052,,,11.5,0.5689543756,1.757610176,,,21.5,0.5363259048,1.864537944,,,16.5,0.548097772,1.824491999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13:00,0.493526,9.87052,,,14.5,0.5548672908,1.802232744,,,14.5,0.5548672908,1.802232744,,,14.5,0.5548672908,1.802232744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14:00,0.493526,9.87052,,,13.5,0.5589319601,1.789126533,,,10.5,0.5752359127,1.738417192,,,12,0.5661673595,1.76626219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15:00,0.493526,9.87052,,,3.5,0.6960951786,1.436585155,,,5.5,0.634866051,1.575135414,,,4.5,0.6597574583,1.515708519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16:00,0.493526,9.87052,,,4.5,0.6597574583,1.515708519,,,9.5,0.5826827574,1.716199745,,,7,0.6092484376,1.64136654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16:15,0.493526,9.87052,,,8.5,0.5916598839,1.690160221,,,6.5,0.6166535988,1.621655986,,,7.5,0.6027060359,1.659183649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
