,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
A - F,4-9,3-8,5-10,4-9,4-9,7-12,5-10,4-9,3-8,6-11,4-9,5-10,6-11,5-10,5-10,5-10,4-9,5-10,4-9,3-8,3-8,4-9,4-9,4-9,4 9,4 9,3 8,2 7,5 10,9 14,9 14,8 13,6 11,3 8,6 11,7 12,6 11,5 10,5-10,5-10,3-8,5-10,5 10,5-10,5-10,7-12,5-10,3-8
G - M,8-13,8-13,7-12,7-12,8-13,7-12,6-11,6-11,7-12,7-12,7-12,6-11,9-14,8-13,7-12,6-11,9-14,5-10,5-10,7-12,7-12,6-11,8-13,9-14,11 16,15 20,15 20,7 12,9 14,10 15,9 14,11 16,8 13,10 15,7 12,6 11,10 15,8 13,10-15,8-13,8-13,7-12,6 11,6-11,7-12,6-11,7-12,7-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.5,5.5,7.5,6.5,6.5,9.5,7.5,6.5,5.5,8.5,6.5,7.5,8.5,7.5,7.5,7.5,6.5,7.5,6.5,5.5,5.5,6.5,6.5,6.5,6.5,6.5,5.5,4.5,7.5,11.5,11.5,10.5,8.5,5.5,8.5,9.5,8.5,7.5,7.5,7.5,5.5,7.5,7.5,7.5,7.5,9.5,7.5,5.5
,10.5,10.5,9.5,9.5,10.5,9.5,8.5,8.5,9.5,9.5,9.5,8.5,11.5,10.5,9.5,8.5,11.5,7.5,7.5,9.5,9.5,8.5,10.5,11.5,13.5,17.5,17.5,9.5,11.5,12.5,11.5,13.5,10.5,12.5,9.5,8.5,12.5,10.5,12.5,10.5,10.5,9.5,8.5,8.5,9.5,8.5,9.5,9.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A - F,6.5,5.5,7.5,6.5,6.5,9.5,7.5,6.5,5.5,8.5,6.5,7.5,8.5,7.5,7.5,7.5,6.5,7.5,6.5,5.5,5.5,6.5,6.5,6.5,6.5,6.5,5.5,4.5,7.5,11.5,11.5,10.5,8.5,5.5,8.5,9.5,8.5,7.5,7.5,7.5,5.5,7.5,7.5,7.5,7.5,9.5,7.5,5.5
G - M,10.5,10.5,9.5,9.5,10.5,9.5,8.5,8.5,9.5,9.5,9.5,8.5,11.5,10.5,9.5,8.5,11.5,7.5,7.5,9.5,9.5,8.5,10.5,11.5,13.5,17.5,17.5,9.5,11.5,12.5,11.5,13.5,10.5,12.5,9.5,8.5,12.5,10.5,12.5,10.5,10.5,9.5,8.5,8.5,9.5,8.5,9.5,9.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL AVG,8.5,8,8.5,8,8.5,9.5,8,7.5,7.5,9,8,8,10,9,8.5,8,9,7.5,7,7.5,7.5,7.5,8.5,9,10,12,11.5,7,9.5,12,11.5,12,9.5,9,9,9,10.5,9,10,9,8,8.5,8,8,8.5,9,8.5,7.5
