,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
1A,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
2A,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
3A,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
4A,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
5A,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
6A,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
1B,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,2-7,1-6,1-6,0-5 ,0-5 ,0-5 ,1-6,1-6,0-5 ,2-7,0-5 ,1-6,0-5 ,0-5 ,0-5 
2B,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,2-7,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,1-6,1-6,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,1-6,0-5 ,1-6,0-5 ,0-5 
3B,0-5 ,2-7,0-5 ,3-8,1-6,0-5 ,2-7,0-5 ,2-7,0-5 ,4-9,1-6,2-7,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,2-7,3-8,4-9,2-7,1-6,2-7,4-9,1-6,2-7,4-9,4-9,2-7,2-7,2-7,3-8,1-6,2-7,0-5 ,0-5 
4B,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,1-6,3-8,1-6,0-5 ,0-5 ,1-6,1-6,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,2-7,8-13,0-5 ,0-5 ,0-5 ,1-6,0-5 ,1-6,1-6,1-6,0-5 ,2-7,0-5 ,1-6,1-6,0-5 ,1-6,0-5 
