,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
A - F,0-5,0-5,0-5,0-6,1 6,1 6,0 5,1 6,0 5,1-6,1-6,0 5,1 6,1 6,0 5,2 7,1 6,1 6,1 6,2 7,0 5,0 5,0 5,1 6,1 6,0 5,1 6,1 6,1 6,1 6,1 6,0 5,0 5,0 5,1 6,1 6,1 6,1 6,1 6,1 6,1 6,0 5,1 6,1 6,1 6,1 6,0 5,1 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5,2.5,2.5,3,3.5,3.5,2.5,3.5,2.5,2.5,2.5,2.5,3.5,3.5,2.5,4.5,3.5,3.5,3.5,4.5,2.5,2.5,2.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,2.5,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A - F,2.5,2.5,2.5,3,3.5,3.5,2.5,3.5,2.5,2.5,2.5,2.5,3.5,3.5,2.5,4.5,3.5,3.5,3.5,4.5,2.5,2.5,2.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.5,2.5,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00 - 6:00,13.74852,0,A1= LAMBDA,,0.07273510167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00 - 12:00 ,10.75966,ABOVE IS FORMULA,,,0.09293973973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00- 18:00,8.608268,,,,0.116167387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 24:00,12.33553,,,,0.08106664245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LAMBDA/C,LAMBDA,,,A-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,,12:00,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,1.590530682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,,13:00,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,1.946198139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,,14:00,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,3.266926243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,,15:00,0.4304134,8.608268,,,3,0.6508499681,1.536452407,,4.097733729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,,16:00,0.4304134,8.608268,,,3.5,0.6266543648,1.595776007,,2.298649823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:15,,16:15,0.4304134,8.608268,,,3.5,0.6266543648,1.595776007,,1.955871792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:30,,16:30,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,3.977727806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:45,,16:45,0.4304134,8.608268,,,3.5,0.6266543648,1.595776007,,2.985744737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,,17:00,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,4.178345449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:15,,17:15,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,1.697752487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:30,,17:30,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,3.955548723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:45,,17:45,0.4304134,8.608268,,,2.5,0.6826243759,1.464934502,,3.910795973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,,18:00,0.4304134,8.608268,,,3.5,0.6266543648,1.595776007,,3.150923753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:15,,18:15,0.6167765,12.33553,,,3.5,0.8292770768,1.20586958,,3.512172347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:30,,18:30,0.6167765,12.33553,,,2.5,0.8930367878,1.119774699,,2.994734712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:45,,18:45,0.6167765,12.33553,,,4.5,0.790223032,1.26546552,,1.59593533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,,19:00,0.6167765,12.33553,,,3.5,0.8292770768,1.20586958,,2.980061644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:15,,19:15,0.6167765,12.33553,,,3.5,0.8292770768,1.20586958,,2.058508597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:30,,19:30,0.6167765,12.33553,,,3.5,0.8292770768,1.20586958,,3.775271795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:45,,19:45,0.6167765,12.33553,,,4.5,0.790223032,1.26546552,,3.0755702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,,20:00,0.6167765,12.33553,,,2.5,0.8930367878,1.119774699,,2.769772483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,,21:00,0.6167765,12.33553,,,2.5,0.8930367878,1.119774699,,2.102752763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00,,22:00,0.6167765,12.33553,,,2.5,0.8930367878,1.119774699,,2.586233798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00,,23:00,0.6167765,12.33553,,,3.5,0.8292770768,1.20586958,,2.088687596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00,,0:00,0.6167765,12.33553,,,3.5,0.8292770768,1.20586958,,3.440047258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,,1:00,0.687426,13.74852,,,2.5,0.9706970719,1.030187511,,4.204184211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,,2:00,0.687426,13.74852,,,3.5,0.9045570558,1.105513459,,2.821186022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,,3:00,0.687426,13.74852,,,3.5,0.9045570558,1.105513459,,1.09530424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,,4:00,0.687426,13.74852,,,3.5,0.9045570558,1.105513459,,4.050581113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,,5:00,0.687426,13.74852,,,3.5,0.9045570558,1.105513459,,2.762809148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:15,,5:15,0.687426,13.74852,,,3.5,0.9045570558,1.105513459,,2.68691337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
